3;283;0.3;0.2;0.2;0.2;0.2;1.3
7;283;0.3;0.2;0.2;0.2;0.2;1.35
3;49;0.3;0.2;0.2;0.2;0.2;11
7;49;0.3;0.2;0.2;0.2;0.2;16.7
3;283;0.6;0.2;0.2;0.2;0.2;1.4
7;283;0.6;0.2;0.2;0.2;0.2;1.5
3;49;0.6;0.2;0.2;0.2;0.2;24.4
7;49;0.6;0.2;0.2;0.2;0.2;45.95
3;283;0.3;0.8;0.2;0.2;0.2;3.45
7;283;0.3;0.8;0.2;0.2;0.2;12.4
3;49;0.3;0.8;0.2;0.2;0.2;73.65
7;49;0.3;0.8;0.2;0.2;0.2;267.5
3;283;0.6;0.8;0.2;0.2;0.2;4.25
7;283;0.6;0.8;0.2;0.2;0.2;57.2
3;49;0.6;0.8;0.2;0.2;0.2;266.7
7;49;0.6;0.8;0.2;0.2;0.2;409.55
3;283;0.3;0.2;0.8;0.2;0.2;1.45
7;283;0.3;0.2;0.8;0.2;0.2;7.5
3;49;0.3;0.2;0.8;0.2;0.2;38.1
7;49;0.3;0.2;0.8;0.2;0.2;195.05
3;283;0.6;0.2;0.8;0.2;0.2;1.8
7;283;0.6;0.2;0.8;0.2;0.2;14.6
3;49;0.6;0.2;0.8;0.2;0.2;176.85
7;49;0.6;0.2;0.8;0.2;0.2;394.45
3;283;0.3;0.8;0.8;0.2;0.2;21.1
7;283;0.3;0.8;0.8;0.2;0.2;176.05
3;49;0.3;0.8;0.8;0.2;0.2;184.6
7;49;0.3;0.8;0.8;0.2;0.2;349.1
3;283;0.6;0.8;0.8;0.2;0.2;123.9
7;283;0.6;0.8;0.8;0.2;0.2;352.5
3;49;0.6;0.8;0.8;0.2;0.2;369.7
7;49;0.6;0.8;0.8;0.2;0.2;424.55
3;283;0.3;0.2;0.2;0.8;0.2;1.5
7;283;0.3;0.2;0.2;0.8;0.2;1.75
3;49;0.3;0.2;0.2;0.8;0.2;11.7
7;49;0.3;0.2;0.2;0.8;0.2;21.85
3;283;0.6;0.2;0.2;0.8;0.2;1.4
7;283;0.6;0.2;0.2;0.8;0.2;1.55
3;49;0.6;0.2;0.2;0.8;0.2;22.45
7;49;0.6;0.2;0.2;0.8;0.2;68.15
3;283;0.3;0.8;0.2;0.8;0.2;2
7;283;0.3;0.8;0.2;0.8;0.2;24.35
3;49;0.3;0.8;0.2;0.8;0.2;69.3
7;49;0.3;0.8;0.2;0.8;0.2;250.1
3;283;0.6;0.8;0.2;0.8;0.2;15.15
7;283;0.6;0.8;0.2;0.8;0.2;50.9
3;49;0.6;0.8;0.2;0.8;0.2;290.05
7;49;0.6;0.8;0.2;0.8;0.2;413.35
3;283;0.3;0.2;0.8;0.8;0.2;1.55
7;283;0.3;0.2;0.8;0.8;0.2;9.95
3;49;0.3;0.2;0.8;0.8;0.2;43.1
7;49;0.3;0.2;0.8;0.8;0.2;208.7
3;283;0.6;0.2;0.8;0.8;0.2;7.6
7;283;0.6;0.2;0.8;0.8;0.2;53.45
3;49;0.6;0.2;0.8;0.8;0.2;212.25
7;49;0.6;0.2;0.8;0.8;0.2;403.8
3;283;0.3;0.8;0.8;0.8;0.2;14.65
7;283;0.3;0.8;0.8;0.8;0.2;126.15
3;49;0.3;0.8;0.8;0.8;0.2;177.6
7;49;0.3;0.8;0.8;0.8;0.2;353.55
3;283;0.6;0.8;0.8;0.8;0.2;98.4
7;283;0.6;0.8;0.8;0.8;0.2;369.65
3;49;0.6;0.8;0.8;0.8;0.2;369.3
7;49;0.6;0.8;0.8;0.8;0.2;424.5
3;283;0.3;0.2;0.2;0.2;0.8;1.45
7;283;0.3;0.2;0.2;0.2;0.8;1.9
3;49;0.3;0.2;0.2;0.2;0.8;9.2
7;49;0.3;0.2;0.2;0.2;0.8;26.55
3;283;0.6;0.2;0.2;0.2;0.8;1.85
7;283;0.6;0.2;0.2;0.2;0.8;1.6
3;49;0.6;0.2;0.2;0.2;0.8;17.1
7;49;0.6;0.2;0.2;0.2;0.8;63.25
3;283;0.3;0.8;0.2;0.2;0.8;1.8
7;283;0.3;0.8;0.2;0.2;0.8;7.35
3;49;0.3;0.8;0.2;0.2;0.8;71.25
7;49;0.3;0.8;0.2;0.2;0.8;243.65
3;283;0.6;0.8;0.2;0.2;0.8;3.75
7;283;0.6;0.8;0.2;0.2;0.8;42.45
3;49;0.6;0.8;0.2;0.2;0.8;276.25
7;49;0.6;0.8;0.2;0.2;0.8;412.75
3;283;0.3;0.2;0.8;0.2;0.8;1.45
7;283;0.3;0.2;0.8;0.2;0.8;5.7
3;49;0.3;0.2;0.8;0.2;0.8;32.5
7;49;0.3;0.2;0.8;0.2;0.8;201.7
3;283;0.6;0.2;0.8;0.2;0.8;2.8
7;283;0.6;0.2;0.8;0.2;0.8;90.6
3;49;0.6;0.2;0.8;0.2;0.8;198.2
7;49;0.6;0.2;0.8;0.2;0.8;393.3
3;283;0.3;0.8;0.8;0.2;0.8;20.65
7;283;0.3;0.8;0.8;0.2;0.8;176.3
3;49;0.3;0.8;0.8;0.2;0.8;175.55
7;49;0.3;0.8;0.8;0.2;0.8;347.45
3;283;0.6;0.8;0.8;0.2;0.8;170.2
7;283;0.6;0.8;0.8;0.2;0.8;372.15
3;49;0.6;0.8;0.8;0.2;0.8;370.3
7;49;0.6;0.8;0.8;0.2;0.8;424.45
3;283;0.3;0.2;0.2;0.8;0.8;1.15
7;283;0.3;0.2;0.2;0.8;0.8;1.4
3;49;0.3;0.2;0.2;0.8;0.8;9.3
7;49;0.3;0.2;0.2;0.8;0.8;33.5
3;283;0.6;0.2;0.2;0.8;0.8;1.55
7;283;0.6;0.2;0.2;0.8;0.8;1.2
3;49;0.6;0.2;0.2;0.8;0.8;14.75
7;49;0.6;0.2;0.2;0.8;0.8;78.45
3;283;0.3;0.8;0.2;0.8;0.8;2.55
7;283;0.3;0.8;0.2;0.8;0.8;17.25
3;49;0.3;0.8;0.2;0.8;0.8;71.3
7;49;0.3;0.8;0.2;0.8;0.8;249
3;283;0.6;0.8;0.2;0.8;0.8;7.45
7;283;0.6;0.8;0.2;0.8;0.8;50.15
3;49;0.6;0.8;0.2;0.8;0.8;277.75
7;49;0.6;0.8;0.2;0.8;0.8;415.25
3;283;0.3;0.2;0.8;0.8;0.8;1.65
7;283;0.3;0.2;0.8;0.8;0.8;3
3;49;0.3;0.2;0.8;0.8;0.8;45.85
7;49;0.3;0.2;0.8;0.8;0.8;209.95
3;283;0.6;0.2;0.8;0.8;0.8;9.3
7;283;0.6;0.2;0.8;0.8;0.8;42.5
3;49;0.6;0.2;0.8;0.8;0.8;220.3
7;49;0.6;0.2;0.8;0.8;0.8;400.7
3;283;0.3;0.8;0.8;0.8;0.8;6.15
7;283;0.3;0.8;0.8;0.8;0.8;85.75
3;49;0.3;0.8;0.8;0.8;0.8;175.1
7;49;0.3;0.8;0.8;0.8;0.8;349.65
3;283;0.6;0.8;0.8;0.8;0.8;150.95
7;283;0.6;0.8;0.8;0.8;0.8;364.25
3;49;0.6;0.8;0.8;0.8;0.8;371.2
7;49;0.6;0.8;0.8;0.8;0.8;424.25
5;1;0.5;0.5;0.5;0.5;0.5;363.35
